# ref_schools — India schools seed (Build 2b, T1: chains + CISCE + curated).
# Sources: deedy/cbse_schools_data + deedy/cisce_schools_data (both CC-BY-SA-4.0). School
# names + districts are public CBSE/government FACTS (not copyrightable); re-expressed and
# normalized here, used as facts WITH attribution. Underlying authority: CBSE / CISCE.
# Tags: deedy rows source='deedy', curated international top-up source='seed'.
# Name format: '{Title name}, {District}, {State}' (CBSE chains) / '{name}, {State}' (CISCE,
# no district column) / '{name}, {City}, {State}' (curated). LENIENT field — never blocks signup.
name,aliases,source
"Florence Public School, Karnataka",{},deedy
"Flos Carmeli Convent School, Karnataka",{},deedy
"Flower Dale School, Uttarakhand",{},deedy
"Fort Catholic Girls' School, Andhra Pradesh",{},deedy
"Fravashi Academy, Maharashtra",{},deedy
"Fusco's School, Karnataka",{},deedy
"G S Shetty International School, Maharashtra",{},deedy
"G.D. Goenka World School, Gurugram, Haryana",{},seed
"G.K. City Montessori School, Uttar Pradesh",{},deedy
"G.d. Birla Centre For Education, West Bengal",{},deedy
"G.d. Somani Memorial School, Maharashtra",{},deedy
"GEMS Public School, Madhya Pradesh",{},deedy
"Gagan International School, Punjab",{},deedy
"Gagan Public School, Uttar Pradesh",{},deedy
"Gail Dav Public School, Auraiya, Uttar Pradesh","{""DAV""}",deedy
"Ganga International School, Karnataka",{},deedy
"Garden High School, West Bengal",{},deedy
"Garia Vidyabhavana South, West Bengal",{},deedy
"Geeta Devi Dav Public School, Deogarh, Jharkhand","{""DAV""}",deedy
"Gem International Residential School, Karnataka",{},deedy
"Gems Akademia International School, West Bengal",{},deedy
"Gems English School, Bihar",{},deedy
"Gems Modern Academy, Dubai",{},deedy
"General Thimmaiah Public School, Karnataka",{},deedy
"Genesis Global School, Noida, Uttar Pradesh",{},seed
"Girish Prasad Memorial College, Uttar Pradesh",{},deedy
"Girls' High School & College, Uttar Pradesh",{},deedy
"Gitanjali Devshala, Andhra Pradesh",{},deedy
"Gitanjali School, Andhra Pradesh",{},deedy
"Gitaram Academy, West Bengal",{},deedy
"Glenhill Public School, West Bengal",{},deedy
"Glenmore International School, West Bengal",{},deedy
"Global Convent School, Uttar Pradesh",{},deedy
"Global International School, Karnataka",{},deedy
"Glowinstar Integrated School, Karnataka",{},deedy
"Gmr Varalakshmi Dav Public School, Dhenkanal, Odisha","{""DAV""}",deedy
"Gmr Varalakshmi Dav Public School, Srikakulam, Andhra Pradesh","{""DAV""}",deedy
"Gnan Srishti School of Excellence, Karnataka",{},deedy
"Gnana Deepa Academy Residential School, Karnataka",{},deedy
"Gnana Jyothi School, Karnataka",{},deedy
"Gnanodaya Public School, Karnataka",{},deedy
"Gobind International Public School, Punjab",{},deedy
"Gobind Ram Kataruka Dav Public School, Purulia, West Bengal","{""DAV""}",deedy
"Goethals Memorial School, West Bengal",{},deedy
"Gokuldham High School & Junior College, Maharashtra",{},deedy
"Goldcrest High, Maharashtra",{},deedy
"Golden Heights School, Haryana",{},deedy
"Good Earth School, Tamilnadu",{},deedy
"Good Shepherd E.M. School, Andhra Pradesh",{},deedy
"Good Shepherd E.m. School, Kerala",{},deedy
"Good Shepherd International School, Tamilnadu",{},deedy
"Good Shepherd Modern English School, Kerala",{},deedy
"Good Shepherd School, Maharashtra",{},deedy
"Good Shepherd School, West Bengal",{},deedy
"Gopal Sharma International School, Maharashtra",{},deedy
"Gopalan International School, Karnataka",{},deedy
"Gopalan National School, Karnataka",{},deedy
"Goregaon Education Society's English Medium School, Maharashtra",{},deedy
"Gorton Mission School, Himachal Pradesh",{},deedy
"Gospel Home School, West Bengal",{},deedy
"Grace Convent Senior Secondary School, Uttar Pradesh",{},deedy
"Grace English School, West Bengal",{},deedy
"Grace Ling Liang English School, West Bengal",{},deedy
"Green Country Public School, Karnataka",{},deedy
"Green Fields School, Uttar Pradesh",{},deedy
"Green Lawn School, West Bengal",{},deedy
"Green Lawns School, West Bengal",{},deedy
"Green Park Central School, Karnataka",{},deedy
"Green Valley English School, Karnataka",{},deedy
"Green Valley National School, Karnataka",{},deedy
"Green Woods Public School, Kerala",{},deedy
"Greencity International School, Karnataka",{},deedy
"Greenfield Academy, Uttar Pradesh",{},deedy
"Greenfield Public School, Karnataka",{},deedy
"Greenhill English School, West Bengal",{},deedy
"Greenlawns High School, Maharashtra",{},deedy
"Greenlawns School, Maharashtra",{},deedy
"Greenwood High International School, Bengaluru, Karnataka",{},seed
"Greenwood High, Karnataka",{},deedy
"Guardian School, Maharashtra",{},deedy
"Gulmohur High School, Jharkhand",{},deedy
"Gundecha Education Academy, Maharashtra",{},deedy
"Guru Gobind Singh Convent School, Punjab",{},deedy
"Guru Har Rai Academy, Uttar Pradesh",{},deedy
"Guru Nanak Academy, Uttarakhand",{},deedy
"Guru Nanak Dev Dav Public School, Amritsar, Punjab","{""DAV""}",deedy
"Guru Nanak Fifth Centenary School, Uttarakhand",{},deedy
"Guru Nanak Public School, Odisha",{},deedy
"Guru Teg Bahadur International School, Punjab",{},deedy
"Guru Tegh Bahadur Public School, Odisha",{},deedy
"Gurucharan Kaur Public School, Uttar Pradesh",{},deedy
"Gurukul Academy, Uttar Pradesh",{},deedy
"Gurukul International Academy, Uttar Pradesh",{},deedy
"Gurukul Vidya Mandir Secondary School, West Bengal",{},deedy
"Gyanoday Niketan, West Bengal",{},deedy
"H I M Christian Academy, Uttarakhand",{},deedy
"H M Dav Public School, Ferozepur, Punjab","{""DAV""}",deedy
"H. A. L. Gnanajyoti School, Karnataka",{},deedy
"H. R. A. International School, Punjab",{},deedy
"H.C.J. Academy, Uttar Pradesh",{},deedy
"H.P. Children's Academy, Uttar Pradesh",{},deedy
"H.S. Memorial School, West Bengal",{},deedy
"H.V.B. Academy, Maharashtra",{},deedy
"Happy Home School, Odisha",{},deedy
"Hari Sri Vidya Nidhi School, Kerala",{},deedy
"Harrow Hall, West Bengal",{},deedy
"Hartmann College, Uttar Pradesh",{},deedy
"Harvard House High School, West Bengal",{},deedy
"Hasanat High School, Maharashtra",{},deedy
"Hawksworth Vidyapith, Kerala",{},deedy
"Head Start Educational Academy, Karnataka",{},deedy
"Hebron English School, West Bengal",{},deedy
"Heliger Borden Education Center, Uttar Pradesh",{},deedy
"Heritage Valley The Indian School, Andhra Pradesh",{},deedy
"Heritage Xperiential Learning School, Gurugram, Haryana",{},seed
"Hill Bird School, Uttarakhand",{},deedy
"Hill Top School, Jharkhand",{},deedy
"Hillview Adventist School, Rajasthan",{},deedy
"Hillview International School, Uttarakhand",{},deedy
"Hilton's School, Uttarakhand",{},deedy
"Himalayan English School, West Bengal",{},deedy
"Himalayan International Residential School, West Bengal",{},deedy
"Himalayan International School, Himachal Pradesh",{},deedy
"Himali Boarding School, West Bengal",{},deedy
"Hindustani Kendriya Vidyalaya, Kamrup, Assam","{""KV"",""Kendriya Vidyalaya""}",deedy
"Hindustani Kendriya Vidyalaya, Tinsukhia, Assam","{""KV"",""Kendriya Vidyalaya""}",deedy
"Hiranandani Foundation School, Maharashtra",{},deedy
"Hirendra Leela Patranavis School, West Bengal",{},deedy
"Hoerner College, Uttar Pradesh",{},deedy
"Holman Institute, Uttar Pradesh",{},deedy
"Holy Angel's High School, Karnataka",{},deedy
"Holy Angels I.S.C. School, Kerala",{},deedy
"Holy Angels School, Punjab",{},deedy
"Holy Angels' School, Uttar Pradesh",{},deedy
"Holy Angels' School, West Bengal",{},deedy
"Holy Child Central School, Kerala",{},deedy
"Holy Child English Academy, West Bengal",{},deedy
"Holy Child School, Jharkhand",{},deedy
"Holy Child School, Uttar Pradesh",{},deedy
"Holy Child School, West Bengal",{},deedy
"Holy Cross Ashram School, Madhya Pradesh",{},deedy
"Holy Cross Convent School, Tripura",{},deedy
"Holy Cross School, Tripura",{},deedy
"Holy Cross School, Uttar Pradesh",{},deedy
"Holy Cross School, West Bengal",{},deedy
"Holy Family Convent School, Punjab",{},deedy
"Holy Family Convent School, Uttar Pradesh",{},deedy
"Holy Family Convent School, West Bengal",{},deedy
"Holy Family International School, Kerala",{},deedy
"Holy Family Public School, Kerala",{},deedy
"Holy Family School, Bihar",{},deedy
"Holy Family School, West Bengal",{},deedy
"Holy Heart Presidency School, Punjab",{},deedy
"Holy Home, West Bengal",{},deedy
"Holy Innocents School & Junior College, Tamilnadu",{},deedy
"Holy Mary Public School, Kerala",{},deedy
"Holy Rock School, West Bengal",{},deedy
"Holy Rosary School, Arunachal Pradesh",{},deedy
"Holy Saint High School, Karnataka",{},deedy
"Holy Spirit School, Karnataka",{},deedy
"Holy Suffah Public School, Uttar Pradesh",{},deedy
"Holy Trinity Anglo - Indian School, Kerala",{},deedy
"Holy Trinity Church School, Uttar Pradesh",{},deedy
"Hopetown Girls' School, Uttarakhand",{},deedy
"Horizon Academy, Maharashtra",{},deedy
"Howard Memorial School, West Bengal",{},deedy
"Howrah St. John's High School, West Bengal",{},deedy
"Huddard High School, Uttar Pradesh",{},deedy
"Hume Mchenry Memorial High School Of S.D.A, Maharashtra",{},deedy
"Hutchings High School & Junior College, Maharashtra",{},deedy
"Hutchings School, Maharashtra",{},deedy
"Hyderabad Public School, Hyderabad, Telangana","{""HPS""}",seed
"Hyderabad Satyagrah D.A.V. Public School, Champaran West, Bihar","{""DAV""}",deedy
"I B Dav Public School, Kangra, Himachal Pradesh","{""DAV""}",deedy
"I D Dav Public School, Hissar, Haryana","{""DAV""}",deedy
"I. P. E. M. International School, Uttar Pradesh",{},deedy
"Icet Public School, Kerala",{},deedy
"Ida Scudder School, Tamilnadu",{},deedy
"Ideal Public School, West Bengal",{},deedy
"Idhayam Rajendran Residential School, Tamilnadu",{},deedy
"Immaculate Conception Convent School, Uttar Pradesh",{},deedy
"India International School, Karnataka",{},deedy
"Indian Blossoms International School, Andhra Pradesh",{},deedy
"Indian Education Society Orion, Maharashtra",{},deedy
"Indian Education Society's Manik Vidyamandir, Maharashtra",{},deedy
"Indian Heritage School, Punjab",{},deedy
"Indian Public School, Karnataka",{},deedy
"Indira Gandhi Memorial Senior Secondary School, West Bengal",{},deedy
"Indira Memorial English Medium High School, West Bengal",{},deedy
"Indo English School, Odisha",{},deedy
"Indo-swiss International Convent School, Punjab",{},deedy
"Indus International School, Bengaluru, Karnataka",{},seed
"Infant Jesus Anglo - Indian Higher Secondary School, Kerala",{},deedy
"Infant Jesus Convent Isc School, Kerala",{},deedy
"Infant Jesus Cottage School, Karnataka",{},deedy
"Infant Jesus English Medium School, Kerala",{},deedy
"Infant Jesus Public School, Kerala",{},deedy
"Infant Jesus School, Karnataka",{},deedy
"Infant Jesus School, Uttar Pradesh",{},deedy
"Ingraham Institute English School, Uttar Pradesh",{},deedy
"Innisfree House School, Karnataka",{},deedy
"Insight Academy, Karnataka",{},deedy
"International Community School & Junior College, Tamilnadu",{},deedy
"International Fateh Academy, Punjab",{},deedy
"International Public School, West Bengal",{},deedy
"International Sahaja Public School, Himachal Pradesh",{},deedy
"International School, Andhra Pradesh",{},deedy
"International School, Bihar",{},deedy
"International School, Karnataka",{},deedy
"Inventure Academy, Karnataka",{},deedy
"Iris World School, Telangana",{},deedy
"Isabella School, West Bengal",{},deedy
"Isha Home School, Tamilnadu",{},deedy
"Ishethra International Residential School, Tamilnadu",{},deedy
"Ispat E.M. School, Odisha",{},deedy
"Ispat English Medium School, Odisha",{},deedy
"J P V Dav Public School, Madhya Pradesh","{""DAV""}",deedy
"J.B. Petit High School, Maharashtra",{},deedy
"J.G. International School, Gujarat",{},deedy
"J.H. Tarapore School, Jharkhand",{},deedy
"J.R. Cambridge School, Tamilnadu",{},deedy
"J.S.S. International School, Dubai",{},deedy
"J.d.s. Public School, Punjab",{},deedy
"Jaga Mata School, Odisha",{},deedy
"Jagan Nath Jain Dav Pub School, Muktsar, Punjab","{""DAV""}",deedy
"James Memorial High School, Tamilnadu",{},deedy
"Jamnabai Narsee School, Gujarat",{},deedy
"Jamnabai Narsee School, Maharashtra",{},deedy
"Janak Academy, Karnataka",{},deedy
"Jankidevi Public School, Maharashtra",{},deedy
"Jasnagra Public School, Maharashtra",{},deedy
"Jasudben M.l. School, Maharashtra",{},deedy
"Jawahar Navodaya Vidayalaya, Amreli, Gujarat","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidayalaya, Ghaziabad, Uttar Pradesh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidayalaya, Hamirpur, Uttar Pradesh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidayalaya, Lakhisarai, Bihar","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidayalaya, Purulia, West Bengal","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidayalaya, Saran (Chapra), Bihar","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidayalaya, Uttar Pradesh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya -2, Mysore, Karnataka","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya Ii, Khammam, Telangana","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya No. 2, Prakasam, Andhra Pradesh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya Sankoo, Kargil, Jammu & Kashmir","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Adilabad, Telangana","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Ahmednagar, Maharashtra","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Ajmer, Rajasthan","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Akola, Maharashtra","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Alappuzha, Kerala","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Alwar, Rajasthan","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Ambala, Haryana","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Amravati, Maharashtra","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Amreli, Gujarat","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Amritsar, Punjab","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Ananatpur, Andhra Pradesh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Anand, Gujarat","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Anantnag, Jammu & Kashmir","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Andaman & Nicobar","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Andaman, Andaman & Nicobar","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Anjaw, Arunachal Pradesh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Araria, Bihar","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Arunachal Pradesh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Assam","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Auraiya, Uttar Pradesh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Aurangabad, Bihar","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Aurangabad, Maharashtra","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Badgam, Jammu & Kashmir","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Badwani, Madhya Pradesh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bagalkot, Karnataka","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Baksa, Assam","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Balaghat, Madhya Pradesh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Balasore, Odisha","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Banaskantha/Palanpur, Gujarat","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bangalore, Karnataka","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Banka, Bihar","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bankura, West Bengal","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Banswara, Rajasthan","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Barabanki, Uttar Pradesh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Baramulla, Jammu & Kashmir","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Baran, Rajasthan","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bargarh, Odisha","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Barmer, Rajasthan","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Barpeta, Assam","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bastar, Chattisgarh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Beed, Maharashtra","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Begusarai, Bihar","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Belgaum, Karnataka","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bellary, Karnataka","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Betul, Madhya Pradesh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bhadrak, Odisha","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bhagalpur, Bihar","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bharatpur, Rajasthan","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bharuch, Gujarat","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bhatinda, Punjab","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bhavnagar, Gujarat","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bhilwara, Rajasthan","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bhind, Madhya Pradesh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bhiwani, Haryana","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bhojpur, Bihar","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bhopal, Madhya Pradesh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bidar, Karnataka","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bijapur, Karnataka","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bikaner, Rajasthan","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bilaspur, Himachal Pradesh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Birbhum, West Bengal","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bishnupur, Manipur","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bolangir, Odisha","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bongaigaon, Assam","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Buldhana, Maharashtra","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Bundi, Rajasthan","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Burdwan, West Bengal","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Buxar, Bihar","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Cachar, Assam","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Chamba, Himachal Pradesh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Chamoli, Uttarakhand","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Champaran East, Bihar","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Champaran West, Bihar","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Chandel, Manipur","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Chandigarh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Chandrapur, Maharashtra","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Changlang, Arunachal Pradesh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Chatra, Jharkhand","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Chattisgarh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Chhatarpur, Madhya Pradesh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Chhindwara, Madhya Pradesh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Chickmagalur, Karnataka","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Chitradurga, Karnataka","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Chittoor, Andhra Pradesh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Chittorgarh, Rajasthan","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Churachandpur, Manipur","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Churu, Rajasthan","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Cooch Behar, West Bengal","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Cuddapah, Andhra Pradesh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Cuttack, Odisha","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Dadar & Nagar Haveli","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Daman & Diu","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Damoh, Madhya Pradesh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Dang-Ahwa, Gujarat","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Darbhanga, Bihar","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Darrang, Assam","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Datia, Madhya Pradesh","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Dausa, Rajasthan","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
"Jawahar Navodaya Vidyalaya, Davangere, Karnataka","{""JNV"",""Navodaya"",""Jawahar Navodaya Vidyalaya""}",deedy
